category_main,avg_sentiment,avg_stars,review_count
Active Life,0.8611096774193548,4.129032258064516,31
American (New),0.7719390625,3.8229166666666665,192
American (Traditional),0.682293956043956,3.8324175824175826,364
Amusement Parks,0.46614999999999995,2.576923076923077,26
Arts & Entertainment,0.8157090909090908,3.8181818181818183,11
Asian Fusion,0.6187227272727274,2.984848484848485,66
Automotive,0.708450406504065,3.6646341463414633,492
Bagels,0.6888058823529412,4.235294117647059,17
Bakeries,0.6704692307692308,4.0,13
Barbeque,0.6723259259259259,3.4814814814814814,54
Barbers,0.5892451612903226,4.016129032258065,62
Bars,0.7139637883520117,3.8706595627411353,5443
Beauty & Spas,0.5262071428571429,3.9285714285714284,42
Beer,0.7713914201183432,4.189349112426036,338
Breakfast & Brunch,0.7032913793103448,3.835423197492163,638
Breweries,0.9142357142857144,4.642857142857143,14
Buffets,0.6120375,3.2083333333333335,24
Burgers,0.6236707317073171,3.392953929539295,1107
Cajun/Creole,0.6763075,3.783333333333333,240
Caribbean,0.9137692307692308,5.0,13
Caterers,0.7193133333333334,4.466666666666667,15
Chicken Wings,0.3178154545454545,2.7545454545454544,110
Chinese,0.6840988764044944,3.691011235955056,178
Chocolatiers & Shops,0.7411384615384615,4.230769230769231,13
Cocktail Bars,0.7919263736263735,3.879120879120879,91
Coffee & Tea,0.7064900924702774,3.9947159841479523,757
Comfort Food,0.5188092307692308,3.5692307692307694,65
Cupcakes,0.7352162162162162,4.378378378378378,74
Custom Cakes,0.5083076923076923,3.076923076923077,13
Delis,0.646220895522388,4.0,268
Desserts,0.6733716129032259,3.535483870967742,310
Diners,0.7496370491803278,4.0950819672131145,305
Discount Store,-0.24055833333333332,1.5833333333333333,12
Donuts,0.6197828947368421,3.526315789473684,76
Eatertainment,0.5931933333333334,3.3833333333333333,60
Electronics,0.581172972972973,3.810810810810811,37
Event Planning & Services,0.7674805319148936,3.8297872340425534,940
Farmers Market,0.7567285714285715,4.142857142857143,14
Fast Food,-0.0766569105691057,1.6829268292682926,123
Festivals,0.8549142857142857,4.0,7
Florists,0.75812,4.466666666666667,15
Flowers & Gifts,0.6851,4.016949152542373,118
Food,0.6574963559915907,3.8577435178696566,1427
Food Trucks,0.8593933333333333,4.933333333333334,15
Gastropubs,0.8367039215686275,4.241830065359477,153
Gelato,0.4930473684210527,3.6315789473684212,19
Golf,0.4953730769230769,3.1923076923076925,26
Greek,0.6951346749226006,3.808049535603715,323
Grocery,0.5383621052631579,3.4210526315789473,190
Hair Salons,0.8154777777777777,4.488888888888889,45
Health & Medical,0.7219509803921568,4.784313725490196,51
Historical Tours,0.7018219730941705,4.062780269058296,223
Hotels,0.522530303030303,3.4393939393939394,66
Ice Cream & Frozen Yogurt,0.7612903908794788,4.366449511400652,614
Indian,0.6806274760383386,3.9361022364217253,626
Irish Pub,0.8505352941176471,4.529411764705882,17
Italian,0.73134,3.8694117647058826,850
Japanese,0.6728884514435696,3.800524934383202,762
Karaoke,0.8060222222222222,4.333333333333333,9
Kebab,0.6677879999999999,4.153333333333333,150
Korean,0.8140356304985337,4.406158357771261,682
Latin American,0.7267471810089021,4.056379821958457,337
Live/Raw Food,0.7174648726376336,3.910435497124076,2434
Local Flavor,0.7962375,4.875,8
Mediterranean,0.6977434262948207,3.4741035856573705,251
Mexican,0.689032382892057,3.841140529531568,491
Music Venues,0.2311136,2.288,125
Nightlife,0.7337834167262332,3.9506790564689065,1399
Pakistani,0.7436896694214876,4.107438016528926,242
Pasta Shops,0.7472852664576802,4.12539184952978,319
Pizza,0.6531803550295858,3.775147928994083,845
Preschools,0.3003636363636364,3.1818181818181817,11
Professional Sports Teams,0.7517480000000001,4.08,25
Pubs,0.4525727272727273,2.8181818181818183,11
Ramen,0.7390890109890109,3.901098901098901,91
Restaurants,0.6978838805289558,3.883948928408573,8772
Salad,0.7029864197530864,3.7037037037037037,81
Sandwiches,0.6075216080402009,3.487437185929648,199
Seafood,0.7064808988764045,3.5280898876404496,178
Seafood Markets,0.5342725274725275,3.857142857142857,91
Shanghainese,0.7313375,4.2,40
Shaved Ice,0.902959090909091,4.909090909090909,22
Shopping,0.29493400000000003,3.04,100
Soup,0.32076666666666664,2.8222222222222224,45
Southern,0.6022573770491804,3.3934426229508197,61
Specialty Food,0.7029927710843373,3.8072289156626504,83
Sports Bars,0.5886895899053628,3.44794952681388,317
Steakhouses,0.6648441753171856,3.5709342560553634,867
Street Vendors,0.8275217391304348,4.434782608695652,46
Sushi Bars,0.7993420408163265,4.183673469387755,245
Tacos,0.5084125,3.5833333333333335,24
Tapas Bars,0.5892551724137931,3.2413793103448274,29
Tex-Mex,0.5901005617977528,3.050561797752809,178
Thai,0.7670116279069766,4.372093023255814,86
Tours,0.14429354838709677,1.2580645161290323,31
Trinidadian,0.8296651162790697,4.341085271317829,129
Vegan,0.7630544378698224,4.224852071005917,338
Venues & Event Spaces,0.5366088288288289,3.052252252252252,1665
Vitamins & Supplements,0.38075714285714285,3.0476190476190474,21
Wigs,-0.09660833333333334,2.4166666666666665,12
Yoga,0.9562263157894736,4.894736842105263,19
